Cs	Cs_prev	Cs_new
2.545885373645242e-11	1.5891619939858214e-10	1.589114856605e-10
2.545885373645242e-11	1.908539278922281e-10	1.90848080429e-10
2.545885373645242e-11	2.2921024999177514e-10	2.292030380313e-10
2.545885373645242e-11	2.7527512418271516e-10	2.752662693138e-10
2.545885373645242e-11	3.305977546664182e-10	3.305869206505e-10
2.545885373645242e-11	3.970386925261443e-10	3.970254728821e-10
2.545885373645242e-11	4.768324077758264e-10	4.768163103816e-10
2.545885373645242e-11	5.726624366473305e-10	5.726428649238e-10
2.545885373645242e-11	6.877516313887657e-10	6.877278607181e-10
2.545885373645242e-11	8.25970547757794e-10	8.25941696108e-10
2.545885373645242e-11	9.919676153812966e-10	9.919326064513e-10
2.545885373645242e-11	1.1913254687306332e-09	1.191282985223e-09
2.545885373645242e-11	1.430748696267397e-09	1.430697120368e-09
2.545885373645242e-11	1.7182893219365112e-09	1.718226658642e-09
2.545885373645242e-11	2.063617602157319e-09	2.063541380054e-09
2.545885373645242e-11	2.4783472454651434e-09	2.478254386292e-09
2.545885373645242e-11	2.9764259922398243e-09	2.976312638683e-09
2.545885373645242e-11	3.5746046900776884e-09	3.574465974939e-09
2.545885373645242e-11	4.293000640244322e-09	4.292830374455e-09
2.545885373645242e-11	5.155774161068875e-09	5.155564406732e-09
2.545885373645242e-11	6.191941121730798e-09	6.191681601449e-09
2.545885373645242e-11	7.436348772699602e-09	7.436026042937e-09
2.545885373645242e-11	8.93084769090527e-09	8.93044397202e-09
2.545885373645242e-11	1.0725699253236212e-08	1.072519075499e-08
2.545885373645242e-11	1.2881265972996411e-08	1.28806204713e-08
2.545885373645242e-11	1.547004154689596e-08	1.546921484031e-08
2.545885373645242e-11	1.857908888492705e-08	1.857801955869e-08
2.545885373645242e-11	2.2312968116319047e-08	2.23115697325e-08
2.545885373645242e-11	2.679725304311257e-08	2.679540238879e-08
2.545885373645242e-11	3.218275430292997e-08	3.218027357406e-08
2.545885373645242e-11	3.865059126980035e-08	3.864722089777e-08
2.545885373645242e-11	4.6418283265741566e-08	4.641364031165e-08
2.545885373645242e-11	5.57470649361622e-08	5.574057931572e-08
2.545885373645242e-11	6.695067181190456e-08	6.694148878803e-08
